n_constituents,precision,seed,macro_ovr_auc,auc_g,auc_q,auc_W,auc_Z,auc_t
8,FP32,1,0.8867827385337875,0.8365668183643888,0.8771844035049847,0.9091463242749481,0.8913023751755699,0.9197137713490462
8,FP32,2,0.8866919866616261,0.8391672762213003,0.8787038737779768,0.9068699086114099,0.8880949431551346,0.9206239315423084
8,FP32,3,0.8858004951194621,0.8368181126454977,0.8772525698510867,0.9068356030223167,0.8888732810570515,0.9192229090213576
8,W8A8,1,0.8864528216808518,0.8380692646981114,0.8771708795253201,0.9069555266744707,0.8905288333595875,0.919539604146769
8,W8A8,2,0.8869659526226193,0.8393055857400886,0.8774993197947417,0.9075836967904325,0.8902124282139114,0.9202287325739218
8,W8A8,3,0.8852416292555757,0.8359236762064994,0.8773641959356183,0.9053290195947453,0.8878618661015006,0.9197293884395142
8,W1A8,1,0.8718508431348196,0.816464178773519,0.8626177017119343,0.8921113541149848,0.875708235801427,0.9123527452722333
8,W1A8,2,0.8694087763402425,0.8117539370471643,0.8619444499626671,0.8882866405222057,0.8736602590976993,0.9113985950714761
8,W1A8,3,0.8724101807531749,0.8165468102197566,0.8656641693550216,0.8918569988189772,0.8742410187334088,0.9137419066387104
8,W1A6,1,0.8665558375438464,0.8053547450377962,0.8577487129928769,0.8891991334402942,0.8722878575470832,0.9081887387011811
8,W1A6,2,0.8700498771967633,0.8120138951950028,0.8622163570248911,0.8916554640220001,0.8734604476231955,0.9109032221187269
8,W1A6,3,0.8700943453071618,0.8129416418313823,0.8603847989688971,0.8911250451852928,0.8741223410382938,0.911897899511943
8,W1A4,1,0.8521441864609554,0.8022403645274924,0.8548777286115428,0.8537633747470548,0.8454634591114873,0.904376005307199
8,W1A4,2,0.8546034688197425,0.8055701399257835,0.8553300809385682,0.8559689941809384,0.8477948900912406,0.9083532389621816
8,W1A4,3,0.8533340146829114,0.8022838098394034,0.8561344483806361,0.8541972076468619,0.8465240585971188,0.9075305489505365
16,FP32,1,0.9135015597435199,0.8786960450453724,0.8930769573070803,0.9362910566325308,0.9218603562450035,0.9375833834876127
16,FP32,2,0.9135472188527511,0.8800504267028407,0.8940176272749002,0.9359408856755312,0.9201478228383092,0.9375793317721743
16,FP32,3,0.9112685695492584,0.8764850943330171,0.8919442308275094,0.9350815891570142,0.9186799819670335,0.9341519514617178
16,W8A8,1,0.9124281809165042,0.8784136230104733,0.8924965395505272,0.9346487487378347,0.919818076118881,0.9367639171648056
16,W8A8,2,0.9136685656872018,0.8804582816325155,0.8930587339805417,0.9347917384653862,0.9211476011841464,0.9388864731734197
16,W8A8,3,0.910953589269735,0.8767200379131168,0.8914442789130226,0.9330383155872366,0.9171497317709149,0.936415582164384
16,W1A8,1,0.8958616894496705,0.852472954350107,0.8791986722884798,0.9202059445678099,0.9023850672979815,0.9250458087439741
16,W1A8,2,0.8955770396661051,0.8533665220400527,0.8803996613820142,0.9172672989005997,0.9006990578198228,0.9261526581880366
16,W1A8,3,0.8953834799731502,0.8534948363946268,0.8782434265342257,0.9161189832880466,0.9014974067705033,0.9275627468783483
16,W1A6,1,0.891569160313501,0.8468633721326606,0.8762373591011283,0.9114024697356585,0.9002785910410211,0.9230640095570358
16,W1A6,2,0.8915744665034321,0.846405386999941,0.8787227311673959,0.9126996156551733,0.8978724525785695,0.9221721461160811
16,W1A6,3,0.8899698890314192,0.8497380251979884,0.876800368640017,0.9069508231953466,0.8918678106644683,0.9244924174592752
16,W1A4,1,0.8690432655017636,0.8259256581548329,0.8637576420397952,0.8755229789062323,0.8657118661651515,0.914298182242806
16,W1A4,2,0.8715079557728593,0.8278855271083319,0.8663224167461953,0.8767756269369903,0.8695469176807816,0.9170092903919976
16,W1A4,3,0.8673815531131341,0.8209885785684303,0.86294803438245,0.8735417210934046,0.8650371054729924,0.914392326048393
32,FP32,1,0.9388187613853903,0.9184587372600024,0.9095924215755207,0.959251445789428,0.9532871343296929,0.9535040679723072
32,FP32,2,0.9378751692606269,0.9160302431350609,0.9097474016267696,0.9583398791466633,0.9523994379445747,0.952858884450066
32,FP32,3,0.935568346008939,0.9135923359840654,0.907339327546873,0.9562986900534209,0.948916459201358,0.9516949172589778
32,W8A8,1,0.9363811700759908,0.9136564828661569,0.9081344211691729,0.9571517627665566,0.9493928637604822,0.9535703198175853
32,W8A8,2,0.9364017956070535,0.914607344652642,0.9097570527635985,0.955320533498374,0.948131937766799,0.9541921093538543
32,W8A8,3,0.9345709427896315,0.9121786133245549,0.907664230397924,0.9537568150315323,0.946505570361106,0.9527494848330404
32,W1A8,1,0.9047222583701731,0.8826967012137105,0.8857708952332846,0.9128071668858873,0.9057995532536861,0.9365369752642969
32,W1A8,2,0.9134199516174064,0.891685936524436,0.8865123814632259,0.9282801584378162,0.9186820043563422,0.9419392773052125
32,W1A8,3,0.8975869836762712,0.8853771336210161,0.8827559859068904,0.8952313808921508,0.8849525776993917,0.9396178402619072
32,W1A6,1,0.9030038116857135,0.875293098152767,0.8838181230312381,0.9143962126364266,0.908560789648961,0.932950834959175
32,W1A6,2,0.902495120293097,0.8743243506240277,0.8812564043566176,0.91813140108569,0.905592503230996,0.9331709421681541
32,W1A6,3,0.9012449055164196,0.8782809643591079,0.8861970516850356,0.9064470760200516,0.8997421934740686,0.9355572420438337
32,W1A4,1,0.883956012195936,0.8556715482737627,0.8757724960184103,0.8886540107602876,0.8761946320758289,0.9234873738513908
32,W1A4,2,0.8817795529107565,0.8549227984127498,0.8756619080286249,0.8833159064340846,0.8712355123612969,0.923761639317026
32,W1A4,3,0.884142427714089,0.8539187168993556,0.8753157121545152,0.890391238355955,0.8754932852681361,0.925593185892483
64,FP32,1,0.9499765854157698,0.9417065870598608,0.9173210336024678,0.9688061464027653,0.9637547870966682,0.9582943729170865
