n_constituents,precision,seed,class,fpr,tpr
8,FP32,1,g,1e-05,0.0003640172505915579
8,FP32,1,g,1.039255682936713e-05,0.0003655723461481814
8,FP32,1,g,1.080052374516254e-05,0.00036718848804291203
8,FP32,1,g,1.1224505680853058e-05,0.0003688680726914428
8,FP32,1,g,1.1665131316981961e-05,0.00037061359058240183
8,FP32,1,g,1.2123054013376529e-05,0.0003724276299702487
8,FP32,1,g,1.2598952777950285e-05,0.0003743128807131396
8,FP32,1,g,1.3093533273536095e-05,0.00037627213826144947
8,FP32,1,g,1.3607528864243332e-05,0.0003783083078028673
8,FP32,1,g,1.414170170289024e-05,0.0003804244085702084
8,FP32,1,g,1.4696843861124474e-05,0.0003874901913816498
8,FP32,1,g,1.5273778503907123e-05,0.00040120318933254366
8,FP32,1,g,1.5873361110102085e-05,0.0004154545003831103
8,FP32,1,g,1.6496480740980206e-05,0.0004302652563817106
8,FP32,1,g,1.714406135851972e-05,0.00044565741872184487
8,FP32,1,g,1.781706319545729e-05,0.000461653810906513
8,FP32,1,g,1.851648417912154e-05,0.00047827815239091467
8,FP32,1,g,1.92433614111598e-05,0.0004955550937536597
8,FP32,1,g,1.999877270535287e-05,0.0005106160997767761
8,FP32,1,g,2.078383818579755e-05,0.0005261661010627842
8,FP32,1,g,2.159972194782717e-05,0.0005423265282689422
8,FP32,1,g,2.244763378413224e-05,0.000559121344081627
8,FP32,1,g,2.3328830978641584e-05,0.000576575451858835
8,FP32,1,g,2.424462017082331e-05,0.0005928206308290297
8,FP32,1,g,2.5196359293170134e-05,0.0006003611710489637
8,FP32,1,g,2.6185459584742327e-05,0.0006081977203249435
8,FP32,1,g,2.7213387683753087e-05,0.0006163418986946189
8,FP32,1,g,2.828166780230035e-05,0.0006248057823481544
8,FP32,1,g,2.9391883986468844e-05,0.000633601921534806
8,FP32,1,g,3.054568246515432e-05,0.0006427433591724363
8,FP32,1,g,3.174477409109193e-05,0.0006522436501875552
8,FP32,1,g,3.2990936877709426e-05,0.0006621168816145701
8,FP32,1,g,3.428601863556583e-05,0.0006836020584818425
8,FP32,1,g,3.563193971228584e-05,0.0007209246831459782
8,FP32,1,g,3.703069584005141e-05,0.0007597124329302952
8,FP32,1,g,3.848436109487433e-05,0.000800022822321974
8,FP32,1,g,3.999509097203661e-05,0.0008245798721800559
8,FP32,1,g,4.156512558225988e-05,0.0008494583474830031
8,FP32,1,g,4.319679297334174e-05,0.0008753134443243914
8,FP32,1,g,4.489251258218608e-05,0.0008838925662547039
8,FP32,1,g,4.665479882234468e-05,0.0008908737809389258
8,FP32,1,g,4.848626481239078e-05,0.0009093875715581018
8,FP32,1,g,5.0389626250651503e-05,0.000984788346525122
8,FP32,1,g,5.2367705442046556e-05,0.0010631490304074303
8,FP32,1,g,5.442343548300272e-05,0.0010990797462991158
8,FP32,1,g,5.655986461065002e-05,0.0011160064748382758
8,FP32,1,g,5.878016072274912e-05,0.001141327093000521
8,FP32,1,g,6.10876160750504e-05,0.0011778905997035466
8,FP32,1,g,6.34856521630521e-05,0.001205621087062838
8,FP32,1,g,6.597782479539533e-05,0.001215493712621649
8,FP32,1,g,6.856782936641738e-05,0.001252592354325156
8,FP32,1,g,7.12595063356841e-05,0.001327233023067681
8,FP32,1,g,7.405684692262442e-05,0.0013833986103159409
8,FP32,1,g,7.696399902471151e-05,0.001429464799750707
8,FP32,1,g,7.998527336796708e-05,0.0014542639039041483
8,FP32,1,g,8.312514989890632e-05,0.001479140852546117
8,FP32,1,g,8.638828442740453e-05,0.0015049943627964074
8,FP32,1,g,8.977951553033314e-05,0.0016292398110898095
8,FP32,1,g,9.33038717262036e-05,0.0018323162457557875
8,FP32,1,g,9.69665789314552e-05,0.002064628861914769
8,FP32,1,g,0.00010077306820944618,0.0020872477063203624
8,FP32,1,g,0.00010472898382363586,0.002110754468910336
8,FP32,1,g,0.00010884019160690055,0.002163559149440968
8,FP32,1,g,0.00011311278765939213,0.002222068674162612
8,FP32,1,g,0.00011755310738783699,0.0022671381910268455
8,FP32,1,g,0.00012216773489967918,0.0023036994540200674
8,FP32,1,g,0.0001269635127659973,0.002450731110813287
8,FP32,1,g,0.0001319475521676706,0.0026939804617853455
8,FP32,1,g,0.00013712724343984008,0.0027555377774103338
8,FP32,1,g,0.00014251026703029977,0.002964525271176891
8,FP32,1,g,0.0001481046048880674,0.003105601167016702
8,FP32,1,g,0.00015391855229902055,0.00318318264125391
8,FP32,1,g,0.00015996073018614878,0.0034974293027433237
8,FP32,1,g,0.0001662400978926612,0.0037125772233154806
8,FP32,1,g,0.00017276596646690346,0.003808804112739292
8,FP32,1,g,0.00017954801246878303,0.003865103778202789
8,FP32,1,g,0.0001865962923181746,0.003913918133160172
8,FP32,1,g,0.0001939212572065831,0.003964808639286571
8,FP32,1,g,0.0002015337685941733,0.004039294871577589
8,FP32,1,g,0.00020944511431514686,0.004129452708893141
8,FP32,1,g,0.0002176670253153459,0.0042946118933861925
8,FP32,1,g,0.00022621169304690264,0.00448363946702093
8,FP32,1,g,0.00023509178754572868,0.00454183434124032
8,FP32,1,g,0.0002443204762186487,0.004695055245164608
8,FP32,1,g,0.0002539114433680347,0.004977339515699737
8,FP32,1,g,0.00026387891048289345,0.005052671672021349
8,FP32,1,g,0.000274237657326495,0.005296997257119805
8,FP32,1,g,0.0002850030438518105,0.0054035091193699045
8,FP32,1,g,0.0002961910329772553,0.005619117262915786
8,FP32,1,g,0.000307818214256508,0.006079828257903522
8,FP32,1,g,0.0003199018284775064,0.0062825551475812775
8,FP32,1,g,0.00033245979322709383,0.006373889841133726
8,FP32,1,g,0.0003455107294592218,0.0064163463691882085
8,FP32,1,g,0.0003590739891061055,0.006472202415271436
8,FP32,1,g,0.00037316968377327516,0.006549772285251095
8,FP32,1,g,0.00038781871456107194,0.006612396441366445
8,FP32,1,g,0.0004030428030568051,0.006876195471467083
